Year,Mean Elevation,Mean Slope
1980,410,0.007
1981,410,0.007
1982,410,0.007
1983,410,0.007
1984,410,0.007
1985,410,0.007
1986,410,0.007
1987,410,0.007
1988,410,0.007
1989,410,0.007
1990,410,0.007
1991,410,0.007
1992,410,0.007
1993,410,0.007
1994,410,0.007
1995,410,0.007
1996,410,0.007
1997,410,0.007
1998,410,0.007
1999,410,0.007
2000,410,0.007
2001,410,0.007
2002,410,0.007
2003,410,0.007
2004,410,0.007
2005,410,0.007
2006,410,0.007
2007,410,0.007
2008,410,0.007
2009,410,0.007
2010,410,0.007
2011,410,0.007
2012,410,0.007
2013,410,0.007
2014,410,0.007
2015,410,0.007
2016,410,0.007
2017,410,0.007
